"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-07-01","58","66","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-07-02","60","74","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-07-03","62","79","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-07-04","63","72","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-07-05","60","67","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-07-06","60","73","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-07-07","64","81","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-07-08","68","79","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-07-09","60","70","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-07-10","61","68","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-07-11","62","73","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-07-12","62","70","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-07-13","61","70","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-07-14","61","75","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-07-15","63","85","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-07-16","68","84","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-07-17","64","72","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-07-18","60","67","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-07-19","61","70","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-07-20","61","68","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-07-21","61","70","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-07-22","63","80","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-07-23","64","70","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-07-24","62","74","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-07-25","66","77","63"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-07-26","65","73","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-07-27","62","76","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-07-28","61","67","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-07-29","61","68","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-07-30","61","71","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-07-31","62","69","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-08-01","61","75","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-08-02","64","80","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-08-03","68","78","61"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-08-04","70","76","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-08-05","65","73","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-08-06","64","71","61"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-08-07","65","71","61"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-08-08","64","71","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-08-09","63","67","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-08-10","63","71","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-08-11","62","71","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-08-12","64","73","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-08-13","65","72","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-08-14","63","63","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-08-15","62","73","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-08-16","64","75","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-08-17","65","72","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-08-18","66","72","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-08-19","63","76","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-08-20","66","72","61"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-08-21","65","75","61"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-08-22","65","73","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-08-23","63","70","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-08-24","61","70","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-08-25","62","69","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-08-26","62","81","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-08-27","67","77","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-08-28","65","73","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-08-29","61","67","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-08-30","61","69","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-08-31","64","88","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-09-01","78","104","67"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-09-02","83","104","72"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-09-03","82","86","68"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-09-04","72","84","68"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-09-05","76","83","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-09-06","70","78","64"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-09-07","69","72","62"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-09-08","65","72","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-09-09","66","75","61"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-09-10","67","92","61"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-09-11","76","86","67"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-09-12","72","85","65"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-09-13","68","74","63"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-09-14","65","71","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-09-15","63","72","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-09-16","62","72","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-09-17","62","73","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-09-18","66","73","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-09-19","64","73","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-09-20","64","71","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-09-21","62","67","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-09-22","61","70","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-09-23","63","77","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-09-24","64","79","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-09-25","66","82","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-09-26","69","88","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-09-27","72","87","62"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-09-28","69","81","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-09-29","62","68","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-09-30","63","72","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-10-01","63","73","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-10-02","65","74","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-10-03","59","73","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-10-04","62","76","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-10-05","60","79","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-10-06","63","84","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-10-07","64","77","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-10-08","61","79","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-10-09","70","79","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-10-10","65","76","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-10-11","57","66","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-10-12","58","69","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-10-13","58","73","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-10-14","62","77","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-10-15","65","81","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-10-16","67","83","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-10-17","67","78","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-10-18","54","63","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-10-19","57","67","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-10-20","59","64","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-10-21","57","68","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-10-22","60","73","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-10-23","66","83","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-10-24","74","91","64"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-10-25","71","83","62"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-10-26","70","86","61"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-10-27","67","80","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-10-28","58","67","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-10-29","56","63","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-10-30","57","62","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-10-31","58","66","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-11-01","57","67","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-11-02","57","66","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-11-03","62","68","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-11-04","60","61","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-11-05","53","60","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-11-06","56","63","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-11-07","54","64","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-11-08","58","65","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-11-09","62","68","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-11-10","60","65","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-11-11","59","64","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-11-12","56","63","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2017-11-13","60","67","55"
