"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-01-01","0.00","0.0","4.0",,"32","11"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-01-02","0.00","0.0","4.0",,"19","2"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-01-03","0.00","0.0","3.0",,"29","8"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-01-04","0.00","0.0","2.0",,"26","14"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-01-05","0.01","0.2","2.0",,"34","15"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-01-06","0.00","0.0","2.0",,"35","25"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-01-07","0.00","0.0","2.0",,"33","14"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-01-08","0.00","0.0","1.0",,"38","21"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-01-09","0.00","0.0","0.0",,"43","29"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-01-10","0.15","0.0","0.0",,"38","24"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-01-11","0.61","0.0","0.0",,"57","37"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-01-12","0.55","0.0","0.0",,"59","46"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-01-13","1.14","0.0","0.0",,"53","25"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-01-14","0.00","0.0","0.0",,"25","17"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-01-15","0.00","0.0","0.0",,"28","16"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-01-16","0.00","0.0","0.0",,"35","22"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-01-17","0.00","0.0","0.0",,"39","20"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-01-18","0.00","0.0","0.0",,"37","19"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-01-19","0.00","0.0","0.0",,"49","35"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-01-20","0.00","0.0","0.0",,"43","18"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-01-21","0.00","0.0","0.0",,"19","7"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-01-22","0.00","0.0","0.0",,"14","3"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-01-23","0.00","0.2","0.0",,"19","8"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-01-24","0.00","0.2","0.0",,"22","6"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-01-25","0.08","1.4","0.0",,"24","18"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-01-26","0.00","0.0","1.0",,"27","19"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-01-27","0.17","0.1","0.0",,"33","16"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-01-28","0.18","0.0","0.0",,"48","33"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-01-29","0.09","0.0","0.0",,"60","44"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-01-30","0.45","0.0","0.0",,"64","30"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-01-31","0.00","0.5","0.0",,"30","12"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-02-01","0.00","0.0","0.0",,"14","5"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-02-02","0.10","2.0","1.0",,"24","14"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-02-03","0.00","0.1","2.0",,"20","8"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-02-04","0.09","1.5","3.0",,"26","9"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-02-05","0.03","0.5","3.0",,"31","8"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-02-06","0.00","0.0","3.0",,"31","25"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-02-07","0.07","0.0","2.0",,"40","25"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-02-08","0.02","0.0","0.0",,"37","25"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-02-09","0.00","0.0","0.0",,"34","17"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-02-10","0.07","0.0","0.0",,"47","27"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-02-11","0.00","0.0","0.0",,"49","31"
